948550644	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV			IND	DELHI	IND								1	043	043	04	1	2.8	10	2	10	0.08270676691729	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550645	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV			IND	DELHI	IND								1	043	043	04	1	2.8	2	1	2	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550670	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV			MED	NEWSPAPER						MED			1	010	010	01	1	0.0	4	1	4	-1.26315789473685	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550672	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV			MED	NEWSPAPER						MED			1	013	013	01	1	0.4	4	1	4	-1.26315789473685	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550673	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV			MED	NEWSPAPER						MED			1	013	013	01	1	0.4	2	1	2	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550674	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV			MED	NEWSPAPER						MED			1	040	040	04	1	1.0	4	1	4	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550752	20200925	202009	2020	2020.7260	GOVAGR	AGRICULTURE MINIST						GOV	AGR		AGR	FARMER						AGR			0	036	036	03	1	4.0	10	1	10	-4.77707006369427	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	20200925	https://www.telegraphindia.com/india/farmers-block-train-tracks-while-modi-tracks-fitness-routine/cid/1792991
948550782	20200925	202009	2020	2020.7260	HIN	HINDU				HIN					SIK	SIKH				SIK					0	051	051	05	1	3.4	10	1	10	-1.13314447592068	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200925	https://www.telegraphindia.com/west-bengal/mamata-announces-durga-puja-package-for-organisers/cid/1792994
948550794	20200925	202009	2020	2020.7260	HLH	DOCTOR						HLH													0	090	090	09	2	-2.0	8	1	8	-7.67494356659144	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200925	https://www.telegraphindia.com/india/bhima-koregaon-case-2-years-in-jail-good-case-but-no-bail-yet-for-sudha-bharadwaj/cid/1792990
948550795	20200925	202009	2020	2020.7260	HLH	DOCTOR						HLH													0	090	090	09	2	-2.0	2	1	2	-7.67494356659144	4	Pune, Maharashtra, India	IN	IN16	18.5333	73.8667	-2108361	0							4	Pune, Maharashtra, India	IN	IN16	18.5333	73.8667	-2108361	20200925	https://www.telegraphindia.com/india/bhima-koregaon-case-2-years-in-jail-good-case-but-no-bail-yet-for-sudha-bharadwaj/cid/1792990
